# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"cow","anchor_id":"FILE1_Z0_XY1","type":2,"desc":"","options":{"0":"stand","1":"lying down","2":"foraging","3":"drinking water","4":"rumination"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"22_JVwNX474","[""621_00005.jpg""]",0,"[]","[2,1314,382,180,362]","{""1"":""0""}"
"23_2SmNI8PY","[""621_00006.jpg""]",0,"[]","[2,1318,392,166,354]","{""1"":""0""}"
"23_6pC4dmNX","[""621_00006.jpg""]",0,"[]","[2,46,654,464,296]","{""1"":""0,2""}"
"23_aInRIJIN","[""621_00006.jpg""]",0,"[]","[2,44,530,360,140]","{""1"":""0""}"
"24_VOMnNzUS","[""621_00007.jpg""]",0,"[]","[2,42,522,304,150]","{""1"":""0""}"
"24_ueTsMoIi","[""621_00007.jpg""]",0,"[]","[2,92,650,384,318]","{""1"":""0,2""}"
"24_gE2Xh7aj","[""621_00007.jpg""]",0,"[]","[2,1308,392,170,336]","{""1"":""0""}"
"25_pDV5Y9eb","[""622_00002.jpg""]",0,"[]","[2,494,384,258,158]","{""1"":""1,4""}"
"25_hJmehwYn","[""622_00002.jpg""]",0,"[]","[2,36,390,146,118]","{""1"":""0""}"
"26_X3uvXLo7","[""622_00003.jpg""]",0,"[]","[2,476,360,256,184]","{""1"":""1,4""}"
"27_KtgY6xmb","[""622_00004.jpg""]",0,"[]","[2,480,372,260,170]","{""1"":""1,4""}"
"27_Nm0Pnnfp","[""622_00004.jpg""]",0,"[]","[2,28,366,160,150]","{""1"":""0""}"
"28_JxZXjMMr","[""622_00005.jpg""]",0,"[]","[2,508,366,234,170]","{""1"":""1,4""}"
"28_t9KFc4m3","[""622_00005.jpg""]",0,"[]","[2,28,372,142,148]","{""1"":""0""}"
"29_lyiEH79K","[""622_00006.jpg""]",0,"[]","[2,46,372,130,146]","{""1"":""0""}"
"29_3X3KjFpC","[""622_00006.jpg""]",0,"[]","[2,472,362,266,178]","{""1"":""1,4""}"
"30_r16hX1uM","[""622_00007.jpg""]",0,"[]","[2,476,380,268,178]","{""1"":""1,4""}"
"30_fGO67qAF","[""622_00007.jpg""]",0,"[]","[2,30,380,158,136]","{""1"":""0""}"
"31_K6pF03MP","[""623_00002.jpg""]",0,"[]","[2,484,372,248,172]","{""1"":""1,4""}"
"31_Rdp1Lq9r","[""623_00002.jpg""]",0,"[]","[2,280,334,148,108]","{""1"":""1,4""}"
"31_yttNwQGy","[""623_00002.jpg""]",0,"[]","[2,534,264,122,74]","{""1"":""0""}"
"32_HjcCnMqC","[""623_00003.jpg""]",0,"[]","[2,508,384,238,154]","{""1"":""1,4""}"
"32_6J4XCepI","[""623_00003.jpg""]",0,"[]","[2,298,338,132,106]","{""1"":""1,4""}"
"32_gaoXOnTl","[""623_00003.jpg""]",0,"[]","[2,516,250,148,102]","{""1"":""0""}"
"33_lKX140YX","[""623_00004.jpg""]",0,"[]","[2,522,250,132,92]","{""1"":""0""}"
"33_3BS8BLWS","[""623_00004.jpg""]",0,"[]","[2,278,338,178,104]","{""1"":""1,4""}"
"33_2302sXlD","[""623_00004.jpg""]",0,"[]","[2,490,402,244,162]","{""1"":""1,4""}"
"34_LtkLLch6","[""623_00005.jpg""]",0,"[]","[2,496,380,236,168]","{""1"":""4,1""}"
"34_1QWzubk3","[""623_00005.jpg""]",0,"[]","[2,288,330,134,98]","{""1"":""1,4""}"
"34_bJari2MP","[""623_00005.jpg""]",0,"[]","[2,514,254,136,86]","{""1"":""0""}"
"35_QaUWqw7I","[""623_00006.jpg""]",0,"[]","[2,522,236,138,112]","{""1"":""0""}"
"35_yasr8dzm","[""623_00006.jpg""]",0,"[]","[2,472,356,268,174]","{""1"":""1,4""}"
"35_QB8Tbb6l","[""623_00006.jpg""]",0,"[]","[2,278,334,158,112]","{""1"":""1,4""}"
"36_TplA5eWU","[""623_00007.jpg""]",0,"[]","[2,274,340,160,100]","{""1"":""1,4""}"
"36_b4E3cXzH","[""623_00007.jpg""]",0,"[]","[2,474,396,280,154]","{""1"":""1,4""}"
"36_pX74Yq7r","[""623_00007.jpg""]",0,"[]","[2,540,260,114,108]","{""1"":""0""}"
"37_RRaeOXXa","[""624_00002.jpg""]",0,"[]","[2,402,340,290,222]","{""1"":""0,4""}"
"37_hJ1qupjk","[""624_00002.jpg""]",0,"[]","[2,294,328,114,102]","{""1"":""1""}"
"410_8IhfqM9M","[""686_00003.jpg""]",0,"[]","[2,66,340,80,148]","{""1"":""0""}"
"411_wRw0lolp","[""686_00004.jpg""]",0,"[]","[2,64,366,88,102]","{""1"":""0""}"
"412_WBOXBHxk","[""686_00005.jpg""]",0,"[]","[2,56,344,112,140]","{""1"":""0""}"
"413_EMbuXbO9","[""686_00006.jpg""]",0,"[]","[2,68,350,88,144]","{""1"":""0""}"
"414_zPipoX1C","[""686_00007.jpg""]",0,"[]","[2,72,362,84,116]","{""1"":""0""}"
"421_0XQJ2dMN","[""688_00002.jpg""]",0,"[]","[2,178,378,156,128]","{""1"":""0""}"
"421_KKclGZTn","[""688_00002.jpg""]",0,"[]","[2,48,388,144,100]","{""1"":""0""}"
"421_vtH7UOwY","[""688_00002.jpg""]",0,"[]","[2,46,498,238,106]","{""1"":""0""}"
"421_rPvJChUa","[""688_00002.jpg""]",0,"[]","[2,80,590,306,128]","{""1"":""0""}"
"421_42OTIlsX","[""688_00002.jpg""]",0,"[]","[2,134,662,464,314]","{""1"":""0,2""}"
"421_6SmwCVJe","[""688_00002.jpg""]",0,"[]","[2,148,792,590,280]","{""1"":""0,2""}"
"422_uuAqSIIH","[""688_00003.jpg""]",0,"[]","[2,44,346,154,96]","{""1"":""0""}"
"422_jTmdeygD","[""688_00003.jpg""]",0,"[]","[2,180,348,154,180]","{""1"":""0,2""}"
"422_9uH1ke0b","[""688_00003.jpg""]",0,"[]","[2,18,508,378,178]","{""1"":""0,2""}"
"422_J3A0BsM5","[""688_00003.jpg""]",0,"[]","[2,62,678,544,218]","{""1"":""0,2""}"
"422_InEDXm5m","[""688_00003.jpg""]",0,"[]","[2,150,816,618,246]","{""1"":""0,2""}"
"423_hMNrtiFN","[""688_00004.jpg""]",0,"[]","[2,180,396,142,92]","{""1"":""0""}"
"423_fjy5f4VF","[""688_00004.jpg""]",0,"[]","[2,40,470,226,116]","{""1"":""0""}"
"423_NLNzYWjI","[""688_00004.jpg""]",0,"[]","[2,44,598,342,154]","{""1"":""0""}"
"423_skyY9HsX","[""688_00004.jpg""]",0,"[]","[2,102,662,390,196]","{""1"":""0,2""}"
"423_tgX5AP6Y","[""688_00004.jpg""]",0,"[]","[2,50,666,534,352]","{""1"":""0,2""}"
"423_HOJUDDFl","[""688_00004.jpg""]",0,"[]","[2,114,814,760,252]","{""1"":""0,2""}"
"428_XnFswTHi","[""689_00003.jpg""]",0,"[]","[2,834,412,344,460]","{""1"":""0,3""}"
"428_UPVxP3DE","[""689_00003.jpg""]",0,"[]","[2,1544,556,192,308]","{""1"":""1,4""}"
"428_hda6I2u3","[""689_00003.jpg""]",0,"[]","[2,508,392,256,122]","{""1"":""1,4""}"
"428_wPTxrSJL","[""689_00003.jpg""]",0,"[]","[2,174,776,464,262]","{""1"":""0""}"
"428_oMhky0M4","[""689_00003.jpg""]",0,"[]","[2,76,644,428,224]","{""1"":""0,2""}"
"428_uxO1kEMA","[""689_00003.jpg""]",0,"[]","[2,226,436,138,228]","{""1"":""0""}"
"428_ahNfnnv4","[""689_00003.jpg""]",0,"[]","[2,32,454,204,182]","{""1"":""0""}"
"428_5fFXC7oQ","[""689_00003.jpg""]",0,"[]","[2,26,360,164,112]","{""1"":""0""}"
"429_iNvRLa1I","[""689_00004.jpg""]",0,"[]","[2,848,460,336,396]","{""1"":""0""}"
"429_rGQy7wZ0","[""689_00004.jpg""]",0,"[]","[2,472,380,264,136]","{""1"":""1,4""}"
"429_NQmBfPff","[""689_00004.jpg""]",0,"[]","[2,1530,542,192,348]","{""1"":""1,4""}"
"429_6bVw5y9l","[""689_00004.jpg""]",0,"[]","[2,1784,654,132,318]","{""1"":""1""}"
"429_BVIiJQ6Q","[""689_00004.jpg""]",0,"[]","[2,130,690,515,375]","{""1"":""0""}"
"429_oGtT4L1O","[""689_00004.jpg""]",0,"[]","[2,50,446,194,174]","{""1"":""0""}"
"429_UsM0nxPi","[""689_00004.jpg""]",0,"[]","[2,55,620,505,230]","{""1"":""0""}"
"429_6nlqjNo4","[""689_00004.jpg""]",0,"[]","[2,242,420,116,192]","{""1"":""0""}"
"2_EbgwSFji","[""618_00003.jpg""]",0,"[]","[2,885,405,325,305]","{""1"":""0,4""}"
"2_ZW5UTMvX","[""618_00003.jpg""]",0,"[]","[2,335,835,745,230]","{""1"":""0,2""}"
"2_RXv4t00X","[""618_00003.jpg""]",0,"[]","[2,115,480,245,365]","{""1"":""0""}"
"2_8VncEYGP","[""618_00003.jpg""]",0,"[]","[2,45,330,190,250]","{""1"":""0""}"
"2_XqXXtV9p","[""618_00003.jpg""]",0,"[]","[2,395,295,255,305]","{""1"":""0""}"
"2_oSYQyQEw","[""618_00003.jpg""]",0,"[]","[2,1460,490,275,420]","{""1"":""1,4""}"
"2_VPKdWIYh","[""618_00003.jpg""]",0,"[]","[2,1790,615,125,290]","{""1"":""1""}"
"2_o20lY5XJ","[""618_00003.jpg""]",0,"[]","[2,240,260,160,180]","{""1"":""0""}"
"432_CiaZqVDW","[""689_00007.jpg""]",0,"[]","[2,662,480,462,354]","{""1"":""0""}"
"432_3ct2BK3k","[""689_00007.jpg""]",0,"[]","[2,488,394,256,138]","{""1"":""1,4""}"
"432_ybFwCvfU","[""689_00007.jpg""]",0,"[]","[2,46,470,228,196]","{""1"":""0""}"
"432_NsEGDI0R","[""689_00007.jpg""]",0,"[]","[2,24,342,222,146]","{""1"":""0""}"
"432_r5GB30XM","[""689_00007.jpg""]",0,"[]","[2,178,736,476,338]","{""1"":""0,2""}"
"432_N7rQVltm","[""689_00007.jpg""]",0,"[]","[2,1550,550,180,328]","{""1"":""1,4""}"
"432_tQR7X0Ah","[""689_00007.jpg""]",0,"[]","[2,1805,655,95,320]","{""1"":""1""}"
"432_a9AbUE4Z","[""689_00007.jpg""]",0,"[]","[2,100,600,515,160]","{""1"":""0""}"
"424_2Ff347mQ","[""688_00005.jpg""]",0,"[]","[2,30,305,245,195]","{""1"":""0""}"
"424_BpP7bJ4m","[""688_00005.jpg""]",0,"[]","[2,25,630,465,160]","{""1"":""0,2""}"
"424_UU8bDhkp","[""688_00005.jpg""]",0,"[]","[2,25,710,585,245]","{""1"":""0,2""}"
"424_hyP9XdGW","[""688_00005.jpg""]",0,"[]","[2,215,830,685,225]","{""1"":""0,2""}"
"425_quXWDegz","[""688_00006.jpg""]",0,"[]","[2,220,795,645,235]","{""1"":""0""}"
"425_duiAKrsd","[""688_00006.jpg""]",0,"[]","[2,105,670,515,290]","{""1"":""0""}"
"425_Q1FaIjYM","[""688_00006.jpg""]",0,"[]","[2,25,470,375,235]","{""1"":""0""}"
"425_ACvo3JwC","[""688_00006.jpg""]",0,"[]","[2,10,315,245,205]","{""1"":""0""}"
"426_1UduYSmG","[""688_00007.jpg""]",0,"[]","[2,5,335,220,185]","{""1"":""0""}"
"426_07RgcgcL","[""688_00007.jpg""]",0,"[]","[2,20,455,315,230]","{""1"":""0""}"
"426_ebB6HXNg","[""688_00007.jpg""]",0,"[]","[2,50,615,415,255]","{""1"":""0""}"
"426_cSrv2UXd","[""688_00007.jpg""]",0,"[]","[2,95,680,540,300]","{""1"":""0""}"
"426_tTdeRF5K","[""688_00007.jpg""]",0,"[]","[2,225,840,645,205]","{""1"":""0""}"
"427_DTFwjTln","[""689_00002.jpg""]",0,"[]","[2,35,325,180,125]","{""1"":""0""}"
"427_ncHjUGj3","[""689_00002.jpg""]",0,"[]","[2,20,465,260,115]","{""1"":""0""}"
"427_efEJyhhZ","[""689_00002.jpg""]",0,"[]","[2,170,430,205,245]","{""1"":""0""}"
"427_TBxojveP","[""689_00002.jpg""]",0,"[]","[2,190,755,520,255]","{""1"":""0""}"
"427_taMYtEQt","[""689_00002.jpg""]",0,"[]","[2,30,680,445,205]","{""1"":""0""}"
"427_61oouPs3","[""689_00002.jpg""]",0,"[]","[2,835,375,360,460]","{""1"":""0,3""}"
"427_rmJVQFXn","[""689_00002.jpg""]",0,"[]","[2,1515,545,225,350]","{""1"":""1,4""}"
"427_SurjVO8N","[""689_00002.jpg""]",0,"[]","[2,1775,645,135,380]","{""1"":""1""}"
"428_6EyzPhNx","[""689_00003.jpg""]",0,"[]","[2,1780,625,130,345]","{""1"":""1""}"
"430_qYAqTWYL","[""689_00005.jpg""]",0,"[]","[2,780,495,415,375]","{""1"":""0""}"
"430_oHONpYRX","[""689_00005.jpg""]",0,"[]","[2,175,750,475,305]","{""1"":""0""}"
"430_YeyqZmWI","[""689_00005.jpg""]",0,"[]","[2,124,600,409,228]","{""1"":""0""}"
"430_iG88gKU5","[""689_00005.jpg""]",0,"[]","[2,64,456,179,189]","{""1"":""0""}"
"430_kLfC1ETU","[""689_00005.jpg""]",0,"[]","[2,230,402,126,180]","{""1"":""0""}"
"430_qXze0yLq","[""689_00005.jpg""]",0,"[]","[2,485,350,255,185]","{""1"":""1,4""}"
"430_oSXXfPrX","[""689_00005.jpg""]",0,"[]","[2,1520,545,215,330]","{""1"":""1,4""}"
"430_bb87gdCo","[""689_00005.jpg""]",0,"[]","[2,1798,639,115,360]","{""1"":""1""}"
"431_YeJVyirB","[""689_00006.jpg""]",0,"[]","[2,1505,515,230,380]","{""1"":""1,4""}"
"431_dTAdXUuC","[""689_00006.jpg""]",0,"[]","[2,765,440,395,385]","{""1"":""0""}"
"431_SuMq2FJt","[""689_00006.jpg""]",0,"[]","[2,1785,600,125,370]","{""1"":""1""}"
"431_SBRCjQmq","[""689_00006.jpg""]",0,"[]","[2,160,760,505,290]","{""1"":""0,2""}"
"431_qmOqchJ4","[""689_00006.jpg""]",0,"[]","[2,115,605,480,205]","{""1"":""0,2""}"
"431_lJsnzzvg","[""689_00006.jpg""]",0,"[]","[2,45,420,290,190]","{""1"":""0""}"
"431_OFXLL5KQ","[""689_00006.jpg""]",0,"[]","[2,40,315,210,125]","{""1"":""0""}"
"431_O3pTc2Gr","[""689_00006.jpg""]",0,"[]","[2,465,355,265,180]","{""1"":""1,4""}"
"3_i5XksY9I","[""618_00004.jpg""]",0,"[]","[2,890,405,310,345]","{""1"":""0,4""}"
"3_d3Cc8Q5P","[""618_00004.jpg""]",0,"[]","[2,1470,505,255,365]","{""1"":""1,4""}"
"3_7OoxcvFM","[""618_00004.jpg""]",0,"[]","[2,1810,675,105,275]","{""1"":""1,4""}"
"3_qnR9h5QE","[""618_00004.jpg""]",0,"[]","[2,275,810,785,265]","{""1"":""0""}"
"3_kKHnsXjz","[""618_00004.jpg""]",0,"[]","[2,75,505,345,370]","{""1"":""0""}"
"3_f5GX29rc","[""618_00004.jpg""]",0,"[]","[2,410,345,245,265]","{""1"":""0""}"
"3_HJnJYLXW","[""618_00004.jpg""]",0,"[]","[2,78,406,126,142]","{""1"":""0""}"
"3_TmPpp2wP","[""618_00004.jpg""]",0,"[]","[2,188,320,96,128]","{""1"":""0""}"
"4_C5etpswX","[""618_00005.jpg""]",0,"[]","[2,914,402,270,330]","{""1"":""0,4""}"
"4_IilNkCnA","[""618_00005.jpg""]",0,"[]","[2,1502,550,216,364]","{""1"":""1,4""}"
"4_5Oos4SCn","[""618_00005.jpg""]",0,"[]","[2,1778,636,140,312]","{""1"":""1,4""}"
"4_3NrZ9WlE","[""618_00005.jpg""]",0,"[]","[2,430,786,648,294]","{""1"":""0""}"
"4_0hEGkyW3","[""618_00005.jpg""]",0,"[]","[2,186,586,362,352]","{""1"":""0""}"
"4_EDss8Ro7","[""618_00005.jpg""]",0,"[]","[2,400,330,244,260]","{""1"":""0""}"
"4_fDBRVhiR","[""618_00005.jpg""]",0,"[]","[2,152,498,116,142]","{""1"":""0""}"
"4_N0mznPXi","[""618_00005.jpg""]",0,"[]","[2,66,408,124,152]","{""1"":""0""}"
"4_sWY5mWcF","[""618_00005.jpg""]",0,"[]","[2,274,308,116,130]","{""1"":""0""}"
"4_ahlXlIr9","[""618_00005.jpg""]",0,"[]","[2,156,302,108,120]","{""1"":""0""}"
"23_VaGf71Ft","[""621_00006.jpg""]",0,"[]","[2,28,360,132,118]","{""1"":""0""}"
"24_5pUwmNBt","[""621_00007.jpg""]",0,"[]","[2,34,360,120,126]","{""1"":""0""}"
"21_0u1afprX","[""621_00004.jpg""]",0,"[]","[2,36,362,124,114]","{""1"":""0""}"
"20_k76pS5cx","[""621_00003.jpg""]",0,"[]","[2,38,364,126,108]","{""1"":""0""}"
"19_BUFX4jkv","[""621_00002.jpg""]",0,"[]","[2,48,358,106,108]","{""1"":""0""}"
"18_kC9HeqQG","[""620_00007.jpg""]",0,"[]","[2,506,468,218,396]","{""1"":""0""}"
"18_uJReubhN","[""620_00007.jpg""]",0,"[]","[2,152,690,428,332]","{""1"":""0,2""}"
"18_4nF35OzJ","[""620_00007.jpg""]",0,"[]","[2,94,622,336,148]","{""1"":""0,2""}"
"18_oFCYHgnt","[""620_00007.jpg""]",0,"[]","[2,76,500,254,156]","{""1"":""0,2""}"
"18_8OVOCiZ8","[""620_00007.jpg""]",0,"[]","[2,52,424,188,158]","{""1"":""0,2""}"
"18_jqusXZK8","[""620_00007.jpg""]",0,"[]","[2,24,368,188,154]","{""1"":""0,2""}"
"6_AmS0p53y","[""618_00007.jpg""]",0,"[]","[2,854,422,348,298]","{""1"":""0""}"
"6_vJ2Vvyrk","[""618_00007.jpg""]",0,"[]","[2,1518,546,220,366]","{""1"":""1,4""}"
"6_hNyU9fuP","[""618_00007.jpg""]",0,"[]","[2,386,350,290,262]","{""1"":""0""}"
"6_QnCvn5f5","[""618_00007.jpg""]",0,"[]","[2,250,308,140,126]","{""1"":""0""}"
"6_62ghODfo","[""618_00007.jpg""]",0,"[]","[2,152,306,110,122]","{""1"":""0""}"
"6_csRtSEGt","[""618_00007.jpg""]",0,"[]","[2,74,430,126,180]","{""1"":""0""}"
"6_I9ehwFZc","[""618_00007.jpg""]",0,"[]","[2,16,366,148,122]","{""1"":""0""}"
"6_Xw9pT4TF","[""618_00007.jpg""]",0,"[]","[2,148,540,184,326]","{""1"":""0""}"
"6_YmWcGj2G","[""618_00007.jpg""]",0,"[]","[2,256,588,442,324]","{""1"":""0""}"
"6_ExnZXuPV","[""618_00007.jpg""]",0,"[]","[2,570,786,434,288]","{""1"":""0""}"
"6_TLXBTiXl","[""618_00007.jpg""]",0,"[]","[2,1785,635,125,295]","{""1"":""1,4""}"
"5_K4XMMHYL","[""618_00006.jpg""]",0,"[]","[2,1505,520,215,390]","{""1"":""1,4""}"
"5_syzbomeq","[""618_00006.jpg""]",0,"[]","[2,900,375,335,340]","{""1"":""0""}"
"5_gInDEpLf","[""618_00006.jpg""]",0,"[]","[2,465,785,620,285]","{""1"":""0""}"
"5_tssAnR7E","[""618_00006.jpg""]",0,"[]","[2,240,590,405,260]","{""1"":""0""}"
"5_XFtDeQvZ","[""618_00006.jpg""]",0,"[]","[2,1770,605,135,365]","{""1"":""1,4""}"
"7_qtKXQcGH","[""619_00002.jpg""]",0,"[]","[2,95,705,570,345]","{""1"":""0,3""}"
"7_VQB2MebJ","[""619_00002.jpg""]",0,"[]","[2,1280,680,320,395]","{""1"":""0""}"
"7_D4FORhqJ","[""619_00002.jpg""]",0,"[]","[2,1790,645,120,395]","{""1"":""0""}"
"8_s1B3Otdi","[""619_00003.jpg""]",0,"[]","[2,120,785,590,280]","{""1"":""0,2""}"
"8_wkQMQaDD","[""619_00003.jpg""]",0,"[]","[2,1300,630,285,415]","{""1"":""0""}"
"8_YTH0faXf","[""619_00003.jpg""]",0,"[]","[2,1790,635,120,415]","{""1"":""0""}"
"9_EKok7kpl","[""619_00004.jpg""]",0,"[]","[2,1325,665,260,400]","{""1"":""0""}"
"9_1qiY1WXI","[""619_00004.jpg""]",0,"[]","[2,130,740,550,315]","{""1"":""0""}"
"9_PzaX6OEU","[""619_00004.jpg""]",0,"[]","[2,1755,635,155,435]","{""1"":""0""}"
"10_MaPlYCYE","[""619_00005.jpg""]",0,"[]","[2,145,755,525,300]","{""1"":""0""}"
"10_tSh3zI8n","[""619_00005.jpg""]",0,"[]","[2,1255,680,345,385]","{""1"":""0""}"
"10_mPXNFvvQ","[""619_00005.jpg""]",0,"[]","[2,1735,625,175,425]","{""1"":""0""}"
"11_ryuz1UwT","[""619_00006.jpg""]",0,"[]","[2,155,745,500,300]","{""1"":""0""}"
"11_RcqfvYZW","[""619_00006.jpg""]",0,"[]","[2,1300,620,300,435]","{""1"":""0""}"
"11_JlZABX0b","[""619_00006.jpg""]",0,"[]","[2,1750,650,155,400]","{""1"":""0""}"
"12_D1gFUyOk","[""619_00007.jpg""]",0,"[]","[2,180,745,510,310]","{""1"":""0""}"
"12_TBEwmdPq","[""619_00007.jpg""]",0,"[]","[2,1350,625,235,435]","{""1"":""0""}"
"12_bfJSO7FW","[""619_00007.jpg""]",0,"[]","[2,1780,655,135,395]","{""1"":""0""}"
"13_1kjBEB3L","[""620_00002.jpg""]",0,"[]","[2,395,815,530,260]","{""1"":""0""}"
"13_2783tvel","[""620_00002.jpg""]",0,"[]","[2,175,625,450,365]","{""1"":""0""}"
"17_aVGJ2wct","[""620_00006.jpg""]",0,"[]","[2,430,845,495,220]","{""1"":""0""}"
"17_rSPoXUyE","[""620_00006.jpg""]",0,"[]","[2,115,685,500,310]","{""1"":""0""}"
"17_olOXbtSB","[""620_00006.jpg""]",0,"[]","[2,55,535,400,275]","{""1"":""0""}"
"18_3ciH2rNC","[""620_00007.jpg""]",0,"[]","[2,505,880,415,165]","{""1"":""0""}"
"17_XnjYxAly","[""620_00006.jpg""]",0,"[]","[2,495,470,235,320]","{""1"":""0""}"
"17_XWVagrRG","[""620_00006.jpg""]",0,"[]","[2,52,486,266,134]","{""1"":""0""}"
"17_8ntXLyuD","[""620_00006.jpg""]",0,"[]","[2,76,382,126,96]","{""1"":""0""}"
"12_11tMAcXn","[""619_00007.jpg""]",0,"[]","[2,872,418,198,460]","{""1"":""0,3""}"
"12_g1g5pwwU","[""619_00007.jpg""]",0,"[]","[2,1072,378,142,284]","{""1"":""0,3""}"
"12_s9zJnO5g","[""619_00007.jpg""]",0,"[]","[2,736,470,106,126]","{""1"":""1""}"
"12_BsFtndMm","[""619_00007.jpg""]",0,"[]","[2,364,338,320,272]","{""1"":""0""}"
"12_EgR0okgD","[""619_00007.jpg""]",0,"[]","[2,18,516,252,190]","{""1"":""0,2""}"
"12_IPhE3Ky8","[""619_00007.jpg""]",0,"[]","[2,38,428,178,130]","{""1"":""0,2""}"
"12_MpUBpfUs","[""619_00007.jpg""]",0,"[]","[2,34,360,132,72]","{""1"":""0,2""}"
"12_JXbBKG2g","[""619_00007.jpg""]",0,"[]","[2,862,262,154,144]","{""1"":""0""}"
"12_lQSXFg5x","[""619_00007.jpg""]",0,"[]","[2,1278,342,190,186]","{""1"":""0""}"
"12_0EHbokLX","[""619_00007.jpg""]",0,"[]","[2,1474,360,136,202]","{""1"":""0""}"
"12_ldPUX1ul","[""619_00007.jpg""]",0,"[]","[2,1636,384,84,212]","{""1"":""0""}"
"12_9HbOb0DC","[""619_00007.jpg""]",0,"[]","[2,1548,622,156,288]","{""1"":""1,4""}"
"12_nttLELFF","[""619_00007.jpg""]",0,"[]","[2,1818,468,94,176]","{""1"":""0""}"
"12_Sj3TJxNg","[""619_00007.jpg""]",0,"[]","[2,1032,296,214,120]","{""1"":""0""}"
"12_MEz4CQTZ","[""619_00007.jpg""]",0,"[]","[2,976,238,100,90]","{""1"":""0""}"
"12_GxGX0EUh","[""619_00007.jpg""]",0,"[]","[2,1268,278,190,102]","{""1"":""0""}"
"11_Cq4naZyp","[""619_00006.jpg""]",0,"[]","[2,856,426,226,460]","{""1"":""0""}"
"11_gqgxAZSF","[""619_00006.jpg""]",0,"[]","[2,718,474,118,124]","{""1"":""1,4""}"
